지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),소형총증발량(mm),대형총증발량(mm),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
105,강릉,1990-01-01,-0.3,11.6,-12.9,157,59.1,,179.7,58.69,250.74
105,강릉,1990-02-01,3.2,12.3,-4.3,149.4,34.8,,93,30.8,198.86
105,강릉,1990-03-01,8,19,-0.8,101.5,78.6,,171.9,46.41,386.45
105,강릉,1990-04-01,11.9,25,2.8,81.4,112.7,80.7,191.8,48.56,449.84
105,강릉,1990-05-01,18,31.8,8,78.1,134.5,96.2,205.9,46.8,524.05
105,강릉,1990-06-01,21,33.8,14.1,196.2,119.6,84.2,129.1,29.19,407.55
105,강릉,1990-07-01,23.5,35.4,15.3,151.2,81.8,63.4,91.1,20.28,323.5
105,강릉,1990-08-01,26.3,34.6,19.3,154.5,147.6,113.5,208.7,49.48,481.41
105,강릉,1990-09-01,19.9,33,12,558.9,75.7,58.1,135.2,36.23,321.63
105,강릉,1990-10-01,15.6,25.8,5.6,123.1,93.1,68.9,214.7,61.66,353.05
105,강릉,1990-11-01,11.8,23,-1.7,135.6,69.8,12.4,150.2,49.23,210.28
105,강릉,1990-12-01,4,16.1,-9.1,24.2,76.1,,187.7,63.01,220.33
105,강릉,1991-01-01,0.3,11.2,-10.2,17.9,67.1,,184.8,60.37,235.41
105,강릉,1991-02-01,0.8,11.2,-13.3,50.2,62.6,,166,55,318.77
105,강릉,1991-03-01,5.5,21.1,-2.7,103.6,77,,141.3,38.16,348.75
105,강릉,1991-04-01,12.7,26.8,-1.2,64.6,124.7,91.1,218.7,55.42,521.95
105,강릉,1991-05-01,17.1,31,5.8,121.6,166,123.8,266.5,60.58,644.74
105,강릉,1991-06-01,23.2,35.2,14.1,49.4,161.9,114.8,206.2,46.63,567.73
105,강릉,1991-07-01,24.6,32.9,18.2,246.5,107.9,78.1,109,24.27,384.84
105,강릉,1991-08-01,22.4,31,14.4,302.1,100.9,71.1,146.7,34.75,424.23
105,강릉,1991-09-01,20.4,30.3,12,215,87.1,63.3,143.7,38.44,368.46
105,강릉,1991-10-01,15,29.8,4.5,73.6,104.9,72.9,205.4,58.92,377.83
105,강릉,1991-11-01,9.5,20.8,-0.5,4.5,78.5,10.6,187.1,61.3,265.1
105,강릉,1991-12-01,4.9,19.7,-8.3,233.6,54.5,,124.1,41.66,182.39
105,강릉,1992-01-01,2.6,13.6,-7.6,103.7,64.8,,164.2,53.66,242.15
